bar_size,bar_diameter,bar_area,bar_weight,bar_perimeter
#3,0.375,0.11,0.376,1.178
#4,0.5,0.2,0.668,1.571
#5,0.625,0.31,1.043,1.963
#6,0.75,0.44,1.502,2.356
#7,0.875,0.6,2.044,2.749
#8,1,0.79,2.67,3.142
#9,1.128,1,3.4,3.544
#10,1.27,1.27,4.303,3.99
#11,1.41,1.56,5.313,4.43
#14,1.693,2.25,7.65,5.316
#18,2.257,4,13.6,7.088
